"logFC" "logCPM" "F" "PValue"
"jg9650.t1" -2.00455066966058 17.6810046079098 28.5458364390082 5.85983354800337e-06
"jg15516.t1" -0.0709670360629982 5.39763324688873 0.0414752741545636 0.839815926157088
"jg15483.t1" 0.59915643402606 5.25741195296455 1.76938726300008 0.192156746475952
"jg5892.t1" -0.823466300393603 6.19018564487454 10.5003512870354 0.00263837288204667
"jg21214.t1" 0.772525507522395 5.75518526122515 8.6574036370229 0.00577807689548305
"jg8112.t1" 0.215893800578968 6.3295959167504 1.4797915007477 0.23203782337461
"jg19022.t1" 0.0822841055959948 9.09939061288501 0.481389525225927 0.492424124706509
"jg9715.t1" -3.34252997099075 9.77565441050989 48.1496663980248 4.8588381768349e-08
"jg18404.t1" -0.519324979246439 9.28468431862774 8.11558666856219 0.00733877082588052
"jg16329.t1" -0.423250256907465 7.62082786614488 3.25406848525101 0.0799558208516938
"jg14429.t1" -0.0270205148988708 6.18757764942236 0.0252581818094959 0.874649150888247
"jg19968.t1" -0.0211317554808574 5.30871506301501 0.00909683918043088 0.924565172708295
"jg23359.t1" 0.345351619914334 5.88497866082057 3.25696305142051 0.102686969676332
"jg23782.t1" 0.387280786764072 7.24160962060823 2.44015445304524 0.127362625508427
"jg15183.t1" 0.386258475105879 7.04642496546586 2.37006996996874 0.132774825542487
"jg23550.t1" 0.319101536152894 6.15674795020573 1.86848051224482 0.18046249483485
"jg14638.t1" 0.0848134230609632 5.84876466900922 0.129859363633834 0.720767770589983
"jg6930.t1" 0.194052602103018 5.1864049366439 0.623377573895527 0.760132893493441
"jg16418.t1" 0.160758764641555 5.2398373376481 0.431284414948457 0.515702389802655
"jg9654.t1" -2.46358734545045 17.5085905673037 38.800956390083 4.04021317080136e-07
"jg21223.t1" 0.181878495020801 7.9982941158945 0.56481671359812 0.45740605786286
"jg21223.t2" 1.40169707039813 6.18011166530723 10.2134160220662 0.0029725474405821
"jg18067.t1" 0.104364128460512 7.85712302700415 0.274694299750132 0.603540435520889
"jg13372.t1" 0.710799859557246 5.80582143002297 5.72802189780218 0.0222570740936373
"jg18073.t1" 0.741949267731291 6.78471648953937 11.0863103768956 0.00207426473371354
"jg20863.t1" 0.196473756163043 5.56255589243522 0.623409100211325 0.435159069618534
"jg14785.t1" 0.230878835295385 5.41526831861104 0.746940076837391 0.393396957386816
"jg18400.t1" -0.76011455171227 8.85671796128014 11.9092183407387 0.00148920483993469
"jg20925.t1" 0.182395740064888 5.73424053010795 0.694321395706906 0.567502377193004
"jg5736.t1" 0.122083633379398 5.8884860872936 0.272365481816003 0.605073413378257
"jg8075.t1" 0.745397638604571 5.64455978091005 6.4579041676567 0.0156875289101733
"jg11823.t1" 0.221287215065098 5.60608767068242 0.272523839111293 0.604968907421987
"jg18668.t1" -0.221243924878602 7.9277134500578 0.544708146233133 0.465462902778958
"jg12202.t1" 0.474888861353671 5.08228880215892 3.74696178487978 0.0611058359693139
"jg7625.t1" 0.442583017938776 6.49668609117153 1.63341005479513 0.209736964294811
"jg21400.t1" 0.811660281331208 5.03287511534471 4.10759327789427 0.0504500643413481
"jg15000.t1" 0.369096959023361 5.43243567821692 3.70847480062103 0.300793233453956
"jg21508.t1" 0.034192134923244 6.38945362900225 0.0146040581159081 0.9045108503876
"jg24528.t1" 0.233893300145225 6.49563299381637 0.558778697290268 0.459801417159272
"jg14191.t1" 0.0457508274502841 6.35503472325182 0.0523295279663476 0.820404441844407
"jg21992.t1" 0.81435324936082 5.39073535387216 10.3455902804373 0.00281331340225493
"jg15768.t1" 0.279265539916632 5.87930971143776 1.68174178909492 0.203272071667228
"jg7049.t1" 0.0933413378783155 5.07807813550035 0.122621755614871 0.7283302552751
"jg8109.t1" 0.542903988697484 6.88338866180507 9.5675225799773 0.0039021707947868
"jg6752.t1" -0.157596074352455 5.41377319284257 0.444699092186603 0.50928444845837
"jg23244.t1" 0.468490886805592 5.22836021580904 3.02767456181112 0.0907413139803776
"jg16129.t1" 0.259226891544315 7.47055864768211 1.38891204134249 0.246627779619201
"jg27503.t1" 0.0313921947039491 5.92524078970983 0.0202268297303 0.887730048324624
"jg18575.t1" 0.246686683366178 6.63245665539651 1.56983948685332 0.998036884261575
"jg23735.t1" -0.0469654496915146 6.01067864265906 0.0579471466560611 0.811190694379434
"jg16657.t1" 0.0766246241145882 6.0929040816314 0.0254811329771655 0.874101931942578
"jg7665.t1" 0.473209986156727 5.15971880314713 3.19096674671338 0.0932610579943472
"jg12499.t1" 0.447292987375389 5.46183824682187 4.42033132432991 0.042858859473959
"jg11018.t1" 0.466849213744164 5.90498668866944 3.21468861503073 0.0817232190758128
"jg21547.t1" 0.0886741257559829 6.30372316954755 0.360113849921824 0.790054096968639
"jg22759.t1" 0.409900721418757 5.48002421280387 2.94221534671055 0.665915986812381
"jg9656.t1" -2.60987621393896 15.1113544463079 43.965583335365 1.21389302103928e-07
"jg23193.t1" 0.32140101838923 5.97957261356783 2.81677736960312 0.173814045799976
"jg9653.t1" -2.07910421120552 17.6767073326709 28.454017392578 6.01399589716644e-06
"jg25488.t1" -0.276703860914228 6.07553361345791 0.907986395996143 0.347256763797427
"jg20446.t1" -0.0291468002077726 5.36758542386308 0.00758575753857374 0.931096939701992
"jg2527.t1" 0.0898936052004891 5.38610615243936 0.0998912172453305 0.753858330368864
"jg21213.t1" -0.240752233691708 6.34930574697868 1.65801402776511 0.206414975537499
"jg3379.t1" 0.181408293918349 7.3400281062689 1.62789738776518 0.230291167129151
"jg7087.t1" 0.412758623785222 5.808737193593 2.86277103386184 0.0996366356129714
"jg18691.t1" -0.667544939314944 7.59191862405242 6.50546868496202 0.0153393400333007
"jg5408.t1" 0.40142122681793 6.19661749177519 3.40584856489648 0.0735346059671885
"jg14998.t1" 0.100248283588059 6.51633517396186 0.267496483043428 0.843202320160267
"jg22438.t1" 0.145132745070745 7.00383617444758 0.84246976642465 0.539573921543074
"jg12007.t1" 0.126793986523837 5.40373591420791 0.273533519809817 0.604303492101195
"jg16858.t1" -0.278088508491537 6.78719879401002 1.29299955593107 0.263307005681357
"jg12550.t1" 0.332270474968086 6.89232139815779 2.25305451998734 0.142419201503147
"jg6755.t1" -0.121792983247579 5.52775515559328 0.202421252897568 0.65557877713101
"jg12114.t1" 0.118775716517037 5.11199622821976 0.109190916026998 0.743059090306091
"jg20162.t1" 1.05787236009715 5.25183632147943 12.8006600316911 0.00104847241522827
"jg10826.t1" 0.27738625020118 5.81782724155068 1.95565605427435 0.170875098803129
"jg15699.t1" 1.02463234243651 6.15297708594979 8.83201813258269 0.00535428225694916
"jg16624.t1" -0.819240582608396 8.98851830245756 12.2802931127797 0.00128554560231472
"jg22359.t1" 0.0225017203599008 5.06914993654949 0.00802509133455296 0.929135072813084
"jg3526.t1" 0.433728651841101 9.08177807065079 8.41574052407588 0.00642499861218846
"jg5051.t1" 0.181444447885854 6.5636249808811 1.06330905313008 0.987428639227621
"jg11824.t1" 0.324407549005577 6.6275931950387 0.686915746809887 0.412894566993539
"jg20584.t1" 0.0707002207198542 5.28124271995019 0.104344984585311 0.750739373121099
"jg20001.t1" -0.135098150941136 5.78958482409675 0.358700324019963 0.943187913007786
"jg18403.t1" -0.508182271998534 9.29309310084047 8.1855603925667 0.00711392572925584
"jg27143.t1" 0.111770906842714 6.26294029940577 0.341898713862458 0.562527768704752
"jg11846.t1" 0.174797550891022 5.85749563015373 0.793830618113687 0.908642886146848
"jg11664.t1" 0.170062434355023 8.02054675428663 1.12786615273793 0.295585118020039
"jg12427.t1" 0.0778742237194527 5.71691468155709 0.151894324501535 0.699119540318125
"jg9713.t1" -3.51589688801909 7.87164278752399 54.2530061062118 1.38729347757948e-08
"jg26392.t1" 0.496994863254673 7.43858066036446 2.78973224502539 0.103890501686131
"jg22035.t1" 0.227260376068262 5.78707755847907 1.33710516631557 0.84058739443334
"jg12749.t1" 0.19647088597753 5.41675782273844 0.685026385916693 0.413531618382097
"jg19934.t1" 0.108092992623687 5.10470573331731 0.150790682736726 0.700159179742686
"jg13181.t1" 0.170099344360287 5.19391090012331 0.574785813583397 0.54137523306287
"jg17835.t1" 0.4084069570025 5.60318310171664 4.07878563839107 0.0635739604013781
"jg17209.t1" 0.0654058605222232 5.30721963341145 0.0595848102141894 0.80859455559664
"jg10900.t1" -0.0362416752936047 5.60483664162089 0.00694713724356003 0.934053845006446
"jg20151.t1" -0.321507990529134 5.45650304114591 2.17208338262265 0.149573252320091
"jg18165.t1" -0.273870765698068 6.3870697941669 2.45170661475042 0.126495286782154
"jg5798.t1" 0.00757084291114955 5.63696351707957 0.000907485957700797 0.976140792264629
"jg10816.t1" -0.0382557214053075 5.75229333601075 0.0249621412849401 0.875379606573931
"jg18065.t1" 0.210082142006868 8.62335879118135 2.31437085092758 0.13726730001491
"jg25118.t1" 0.0817953572763068 6.22003072654418 0.0274755418228901 0.869312242178363
"jg23666.t1" -0.344032984478062 5.95652861887868 0.387595715578297 0.537646297608654
"jg7683.t1" -0.344114358171749 5.5583341627021 2.38845799474237 0.1313294269477
"jg17747.t1" 1.21666297105001 5.02164685040148 18.9000722357906 0.000115037688563206
"jg14446.t1" 0.243956526156524 6.26872328419245 1.66991398102562 0.243976895085195
"jg17979.t1" 0.108207249214485 6.47403193778226 0.235246933270152 0.630716053928686
"jg22338.t1" -0.0161018527893222 5.59928091168442 0.00529170156116856 0.942428521731394
"jg5508.t1" 0.158032038463462 7.71279474626347 0.276716872698937 0.602215784200101
"jg12681.t1" 0.506539847667998 5.47021921609118 3.57699841183721 0.06697768101322
"jg17947.t1" 0.211166518089878 6.4939806525848 1.24954403262374 0.271338576476377
