"logFC" "logCPM" "F" "PValue"
"jg6869.t1" -1.9467489020012 4.08033246819373 53.6673714972405 0.000103002960127
"jg19264.t1" -0.614257583747738 2.8471630922176 2.83613707300243 0.132417307966167
"jg15467.t1" -0.0841095364492511 6.4172767755443 0.0731063597484989 0.79402261159919
"jg10835.t1" 1.30025534598406 -0.900415428343703 2.29677138409408 0.169847007043727
"jg17884.t1" -0.353755476983641 5.18802068492556 1.9191634931514 0.205028572579063
"jg6709.t1" 0.751819610317079 5.91838872041347 7.5172962434519 0.0264943737176027
"jg9650.t1" 5.44513320150457 13.2816236207621 12.3828691352872 0.00845138762245116
"jg20730.t1" -3.4870842368821 4.28062230193331 78.3899005323169 2.77804142480686e-05
"jg22696.t1" -0.301546155775877 6.16772510571944 1.10622656277364 0.325012707419501
"jg12483.t1" 0.894858517801795 3.23482223132953 4.45283054639351 0.0694542754058065
"jg13601.t1" -0.979410096630579 6.06602027645672 11.2881654025908 0.0106162928220142
"jg25662.t1" 3.31244980450037 1.49919251819345 11.8680704547379 0.00939185939397139
"jg16943.t1" 5.72843955793544 3.14312494287383 65.5989245370315 5.17395464599714e-05
"jg5257.t1" -1.23020893303633 7.96499495661119 13.9962052410759 0.00618249941936119
"jg7343.t1" -3.51987906999447 4.77904450155868 115.954240589098 6.87710382094995e-06
"jg16320.t1" 0.59029839409382 1.45387622392321 0.95672512928746 0.357949040481079
"jg5781.t1" -0.149069411554178 5.61752271477513 0.264087334638712 0.62184623243466
"jg26220.t1" -0.551763921786854 3.95844961349116 3.51582818777786 0.0993632176078247
"jg13159.t1" 0.174041518380571 5.12932681272657 0.291472930493942 0.60464413713189
"jg9119.t1" -1.91024244550316 3.98932131429857 15.1776173796283 0.00499419931654894
"jg3092.t1" 1.09729612445918 0.299281742080315 5.34949869935632 0.050921833086377
"jg17124.t1" -2.57394879325672 0.928098007257191 24.7980449480422 0.00123584447572579
"jg13179.t1" -0.123181204225523 5.15548274683905 0.325448222117148 0.584725336512254
"jg21340.t1" 0.987790747478297 3.2341235761133 1.98416813240289 0.198303098314313
"jg18953.t1" -0.229336554493604 4.66996057749285 0.81826367322688 0.393304201973264
"jg15516.t1" -3.01619730520754 7.7269270275544 34.7782217099359 0.000431672867916653
"jg5459.t1" -1.14565743775306 3.235614284253 11.8977406270265 0.00933415652307202
"jg18452.t1" -0.117108419445279 6.04865539933218 0.115171957631124 0.74346579805125
"jg19851.t1" -0.735931408868151 5.5576455954418 5.16839670249932 0.0540962900693312
"jg20577.t1" 1.20057870570151 -0.0179038226264512 1.34126504345452 0.281711832537854
"jg12583.t1" -0.704206557559894 4.6957016496431 8.71947997063607 0.0192969826946346
"jg18617.t1" 2.05186916948381 7.10726869018633 46.0862091504597 0.000171930554110503
"jg15483.t1" -0.749904233730056 8.76458096227726 0.780672785634055 0.403866820241611
"jg26093.t1" -2.77862432474408 5.8683833022061 59.2161641119652 7.36306250214923e-05
"jg13717.t1" 3.22472702098406 6.62868683802946 58.9285228824505 7.48702224208185e-05
"jg5386.t1" 0.281243902530786 6.71158384073506 0.487751300963943 0.505618794918103
"jg2833.t1" -0.726647341731855 3.14375380207264 3.62798900851138 0.0949925896270291
"jg26509.t1" -0.635292170404431 4.3918635973286 1.9739122100866 0.199343811495803
"jg16448.t1" -1.19249561348362 4.4942001530188 3.88841532770903 0.0857721123187563
"jg20935.t1" -0.667508571155016 4.17087380249112 2.81410818837075 0.133717128897359
"jg6161.t1" 0.22633941702415 -0.898580122829455 0.0903959487169029 0.771688696220528
"jg13592.t1" 1.89886800481677 7.69108408535973 25.0268679551956 0.00120210398822811
"jg14720.t1" -0.00518681048613218 7.63742937397929 0.000300142221570374 0.986621263550152
"jg25070.t1" 8.49597266780225 2.36835844340113 31.9261733582465 0.000566676574731496
"jg26685.t1" -1.58571686155803 4.13172055007402 4.43219581102436 0.0699761175902376
"jg7015.t1" 1.21925606512169 3.87211234883982 18.0776980902422 0.00309729827175458
"jg17030.t1" 0.783871434639857 -0.862363663078712 1.51270609595119 0.255232735483239
"jg18688.t1" 1.61908942718764 6.67661552096025 43.8698809474851 0.000202523889064197
"jg10332.t1" -2.21345925965607 -0.912322252656291 6.59028717232512 0.0345297450913976
"jg17037.t1" -0.458614248925525 5.24738558588265 3.18739895143624 0.113779491602235
"jg7070.t1" -0.609189150094586 3.66252124005991 4.64502431309386 0.0648276605815829
"jg13665.t1" 1.4450312994989 1.92083417503734 10.8065766294609 0.0117908091940136
"jg27695.t1" 8.22900005439248 1.71873854251978 117.806348904789 6.49458031728918e-06
"jg26881.t1" 0.965525864802274 2.35303386884892 1.33225787353168 0.283210832641534
"jg22098.t1" -0.3085066434076 4.58262954295207 1.77426776322635 0.221198271989771
"jg6949.t1" 0.174466902997101 5.64708643481003 0.213584763569805 0.656840158363368
"jg4706.t1" 4.37331812597354 -0.045196764956381 21.237620851775 0.00195561644358213
"jg16809.t1" 0.0915684264698733 6.72596220253751 0.08087504104897 0.783666180293088
"jg4787.t1" -2.64609575341908 8.44059528186219 35.4911535529664 0.000404470244106943
"jg5072.t1" -1.00765552422351 -0.00519053164904623 1.90571321387519 0.206459304935685
"jg15342.t1" -1.29586489165251 4.00176136140403 24.6718560395398 0.0012549636492242
"jg23642.t1" -0.706532767346227 1.49888025505624 1.26962246390888 0.293963346150731
"jg2499.t1" 10.07497168732 0.99495502776562 44.9949007802894 0.000686523941298512
