"logFC" "logCPM" "LR" "PValue"
"jg6869.t1" -1.9467489020012 4.08033246819373 14.6711737399478 0.000127988777202648
"jg19264.t1" -0.614257583747736 2.8471630922176 1.03927676142055 0.307989737728651
"jg15467.t1" -0.0841095364492511 6.4172767755443 0.0368199442572745 0.847832101565308
"jg10835.t1" 1.30025534598406 -0.900415428343703 3.00909654006577 0.0827984284823344
"jg17884.t1" -0.353755476983641 5.18802068492556 0.668503404110414 0.413573875518104
"jg6709.t1" 0.751819610317079 5.91838872041347 3.13063129974291 0.0768339818213865
"jg9650.t1" 5.44513320150457 13.2816236207621 70.7571091463537 4.04025958541987e-17
"jg20730.t1" -3.48708423688209 4.28062230193331 42.762231326777 6.18141696790570e-11
"jg22696.t1" -0.301546155775877 6.16772510571944 0.489382357554078 0.484202950006239
"jg12483.t1" 0.894858517801795 3.23482223132953 2.51264010958212 0.112936586265027
"jg13601.t1" -0.979410096630579 6.06602027645672 5.14309416316546 0.023339015575296
"jg25662.t1" 3.31244980450037 1.49919251819345 19.827270411376 8.47646769262585e-06
"jg16943.t1" 5.72843955793544 3.14312494287383 66.0360250902475 4.42756015121497e-16
"jg5257.t1" -1.23020893303633 7.96499495661119 6.51010859081003 0.0107262957622138
"jg7343.t1" -3.51987906999447 4.77904450155868 49.3204075032359 2.17389182662984e-12
"jg16320.t1" 0.590298394093822 1.45387622392321 0.732172295460868 0.392179967958923
"jg5781.t1" -0.149069411554178 5.61752271477513 0.126533742007197 0.722053399043829
"jg26220.t1" -0.551763921786854 3.95844961349116 1.22107935675955 0.269148931799092
"jg13159.t1" 0.174041518380571 5.12932681272657 0.160914446620851 0.688315999903975
"jg9119.t1" -1.91024244550316 3.98932131429857 13.6955332780094 0.00021496515832814
"jg3092.t1" 1.09729612445918 0.299281742080315 2.3669040019982 0.123932621712771
"jg17124.t1" -2.57394879325672 0.928098007257191 10.8544988926324 0.000985560283815785
"jg13179.t1" -0.123181204225523 5.15548274683905 0.0808993261200097 0.776082351342083
"jg21340.t1" 0.987790747478297 3.2341235761133 3.04247710432595 0.0811120566471618
"jg18953.t1" -0.229336554493604 4.66996057749285 0.257406551692696 0.611907513111735
"jg15516.t1" -3.01619730520754 7.7269270275544 35.1186180692835 3.10220594274651e-09
"jg5459.t1" -1.14565743775305 3.235614284253 4.01197471209685 0.0451782071867311
"jg18452.t1" -0.117108419445279 6.04865539933218 0.0752479074445613 0.783843695150782
"jg19851.t1" -0.735931408868151 5.5576455954418 3.02285894934386 0.0820986172154418
"jg20577.t1" 1.20057870570151 -0.0179038226264512 2.75446047874376 0.0969835277267288
"jg12583.t1" -0.704206557559894 4.6957016496431 2.41288786812647 0.120340183229838
"jg18617.t1" 2.05186916948381 7.10726869018633 18.6829327986004 1.54357959374827e-05
"jg15483.t1" -0.749904233730056 8.76458096227726 2.39342744329497 0.121846222255409
"jg26093.t1" -2.77862432474408 5.8683833022061 37.7203653699662 8.1647695145132e-10
"jg13717.t1" 3.22472702098406 6.62868683802946 44.3371956184991 2.76414045157776e-11
"jg5386.t1" 0.281243902530786 6.71158384073506 0.394902615914248 0.52973357038729
"jg2833.t1" -0.726647341731855 3.14375380207264 1.59594316194849 0.206479072632824
"jg26509.t1" -0.635292170404431 4.3918635973286 1.82395777816438 0.176842892939447
"jg16448.t1" -1.19249561348362 4.4942001530188 6.47017452693385 0.0109699758866933
"jg20935.t1" -0.667508571155016 4.17087380249112 1.89913699289539 0.168174948796857
"jg6161.t1" 0.22633941702415 -0.898580122829455 0.0886861279729656 0.765854163987346
"jg13592.t1" 1.89886800481677 7.69108408535973 15.2721060033205 9.30809464974379e-05
"jg14720.t1" -0.00518681048613218 7.63742937397929 0.000122405673295134 0.991172616897544
"jg25070.t1" 8.49597266780225 2.36835844340113 82.048845436622 1.32764705789437e-19
"jg26685.t1" -1.58571686155803 4.13172055007402 10.1427844920165 0.00144867169470309
"jg7015.t1" 1.21925606512169 3.87211234883982 5.71679394859877 0.016803386004966
"jg17030.t1" 0.783871434639857 -0.862363663078712 1.11391843609879 0.291231750901762
"jg18688.t1" 1.61908942718764 6.67661552096025 12.5448383970767 0.000397302225090368
"jg10332.t1" -2.21345925965607 -0.912322252656291 5.91431181547188 0.0150183683655611
"jg17037.t1" -0.458614248925525 5.24738558588265 1.13067007198205 0.287632456462836
"jg7070.t1" -0.609189150094586 3.66252124005991 1.35147931427081 0.24501966751979
"jg13665.t1" 1.4450312994989 1.92083417503734 4.64474852745196 0.0311487005781964
"jg27695.t1" 8.22900005439249 1.71873854251978 70.2608508090108 5.19586876853031e-17
"jg26881.t1" 0.965525864802274 2.35303386884892 2.250675909466 0.13355605533378
"jg22098.t1" -0.3085066434076 4.58262954295207 0.456674256340076 0.499182379342699
"jg6949.t1" 0.174466902997101 5.64708643481003 0.1741833509858 0.676420381183892
"jg4706.t1" 4.37331812597354 -0.045196764956381 28.6706044728135 8.5796235051728e-08
"jg16809.t1" 0.0915684264698733 6.72596220253751 0.0418507293990835 0.837904573685163
"jg4787.t1" -2.64609575341908 8.44059528186219 26.9547890528113 2.08270467659186e-07
"jg5072.t1" -1.00765552422351 -0.00519053164904623 1.79217677217662 0.180661169748725
"jg15342.t1" -1.29586489165251 4.00176136140403 6.61577703213685 0.0101079227085341
"jg23642.t1" -0.706532767346227 1.49888025505624 1.03357792682889 0.309319794531777
"jg2499.t1" 10.07497168732 0.99495502776562 72.1178224277894 2.02724536985403e-17
"jg9486.t1" 5.83042317818874 -0.385331292737221 40.4545459110562 2.01243678999978e-10
"jg7326.t1" -1.1090935816807 5.32293889128125 6.53581540890634 0.0105723751146211
"jg17511.t1" 2.43373294775832 -0.827358947581323 10.3690266066875 0.00128147095137653
"jg19748.t1" 3.94911354767938 -0.811919104900111 23.4912428842988 1.25483627778315e-06
"jg5214.t1" -0.672545197005462 2.74665531008991 1.20435605825885 0.272452777653152
"jg8377.t1" -0.622515747753467 5.04256319877249 2.00634404652833 0.156642404963048
"jg7392.t1" 0.658709759949642 4.23981423551519 1.89553892792467 0.168578506075701
"jg6010.t1" 1.20682701183999 7.21499814993811 6.71481897274828 0.00956149962530117
"jg14232.t1" 0.514731622836217 -0.940231429699896 0.468527911559433 0.493665178673614
"jg22440.t1" 0.170361588387954 7.548940194606 0.133103249234672 0.715235935657815
"jg21499.t1" -0.88558308577272 3.48439043221405 2.66082863272339 0.102847143016707
"jg5774.t1" 1.05029159846159 7.30119451178778 5.07556856565236 0.0242653127307571
"jg6462.t1" 6.53222679949332 7.98918696892527 116.401972487551 3.88095551458089e-27
"jg19339.t1" -2.60377269330369 1.04954011538223 11.0723323161479 0.000876253944441629
"jg14999.t1" -0.826355036902819 -0.0592379614275255 1.23441036633898 0.266551038269756
"jg19656.t1" 6.73267293459247 2.40555481054317 64.9582315562136 7.65025856906774e-16
"jg13190.t1" -0.0131783387401308 1.85491421220477 0.000391918211792408 0.984205371455757
"jg17668.t1" -1.14431820800971 0.494090062229667 2.39870736261452 0.121435556293054
"jg18178.t1" -2.54253264926481 6.81850002201884 28.3427251104634 1.01628004961102e-07
"jg8893.t1" 0.351452692690907 2.34068899539222 0.301607684790991 0.582876297874843
"jg25493.t1" 0.6018598016286 5.4375192478012 2.0001185968848 0.157286899983618
"jg14628.t1" 4.69306697732061 4.87802431452952 82.1526937226508 1.25969068549979e-19
"jg21863.t1" 1.71181042773567 0.0247833474275391 5.52815774991924 0.0187127981732753
"jg13621.t1" 0.464030223083496 2.5295711015558 0.546459858780783 0.459767812638808
"jg20430.t1" -0.652184102393645 -0.688716951755595 0.709068182544466 0.399753326354398
"jg17075.t1" 0.314887392036724 2.93055090226202 0.28411817990868 0.594014632309311
"jg4561.t1" 0.396335342928463 6.06952930811455 0.857103640539478 0.354550488484115
"jg17416.t1" 0.572837089746463 6.5576448656978 1.66499991399485 0.196929595432803
"jg5892.t1" -2.59147423115175 8.93867679952258 25.5123071641755 4.39570010248609e-07
"jg12512.t1" 6.57760201666699 -1.23215239664507 40.542373086051 1.92398071456883e-10
"jg6880.t1" -0.0803043883875376 2.89192708311585 0.0182072945313188 0.892663734467772
"jg1993.t1" 2.3262657423235 -0.265248984787101 9.85600862098178 0.0016927796566685
"jg8239.t1" 0.887106451646177 5.3848702809307 4.27885662877703 0.0385892983490014
"jg22038.t1" 0.63905848553942 4.04805816710742 1.69501595804995 0.192941073121301
"jg19740.t1" -1.14367136307719 2.81078545151917 3.47235422063402 0.0624024392138094
"jg14696.t1" -3.56696413268545 3.92630240568513 39.8667406302019 2.7189380316079e-10
"jg26816.t1" -0.0680367188998954 5.6081047853832 0.0263341707479823 0.871086886420284
"jg8724.t1" -0.288927326794805 4.69542311750342 0.41012913534059 0.52190396864058
"jg21190.t1" -0.232615367023937 4.85674357071796 0.273605193608205 0.600923566743483
"jg25233.t1" 7.0130147999516 -0.114021332717837 49.9913749344275 1.54423279257017e-12
"jg17095.t1" -0.23082836706475 7.41490695717817 0.247284770334488 0.61899347657094
"jg14373.t1" 1.35136952089596 0.646318129859815 3.61513999364939 0.0572559027388659
"jg21214.t1" 0.934268031195562 9.06189740689133 3.64779487916564 0.0561434985948774
"jg13045.t1" -0.0818056349144446 4.76905878593127 0.0333961337831852 0.854997249272542
"jg12671.t1" -0.48942965092944 4.55025774167918 1.13474977916195 0.286764465397585
"jg6159.t1" -2.83850352870764 3.39885298778348 22.7885319760869 1.8084161216577e-06
"jg23922.t1" 0.118635124282246 6.16455627816997 0.075953066801695 0.782858505485517
"jg22274.t1" -0.076583174368431 6.27958670516313 0.0311244032054354 0.85996313217484
"jg13859.t1" -1.46511049893017 6.17362470612157 11.066769119661 0.000878886922496849
"jg16394.t1" 2.8755872169321 0.23998251249351 14.6563828504223 0.000128997062782186
"jg11213.t1" -0.55771217972346 5.19897051139545 1.65767701580231 0.197917260597596
"jg8554.t1" 3.01124301249271 0.581758918440376 16.0278116084395 6.24188153382298e-05
"jg21299.t1" -0.576554892183344 3.97981819517223 1.34195729124231 0.246689090725395
"jg23832.t1" -0.233566404475935 5.03077629434666 0.284435342523111 0.593808763059599
"jg11090.t1" 2.28132873513319 0.681343894581337 9.84380160054948 0.00170404968031702
"jg14524.t1" -1.53207578449527 3.9192306817619 8.8699836346925 0.002898977402033
"jg26937.t1" 0.183123876313059 3.61538591326756 0.121855071384704 0.727031159620701
"jg18719.t1" -0.705289707371468 5.01635987623258 2.55958882811918 0.109627092179348
"jg8156.t1" -0.680187819666758 3.16827501337576 1.40890823093099 0.235237717672995
"jg14856.t1" -3.34230658663513 6.69278264063104 46.2954900164348 1.01697777081356e-11
