group2
jg6869.t1 -1
jg19264.t1 0
jg15467.t1 0
jg10835.t1 0
jg17884.t1 0
jg6709.t1 0
jg9650.t1 1
jg20730.t1 -1
jg22696.t1 0
jg12483.t1 0
jg13601.t1 -1
jg25662.t1 1
jg16943.t1 1
jg5257.t1 -1
jg7343.t1 -1
jg16320.t1 0
jg5781.t1 0
jg26220.t1 0
jg13159.t1 0
jg9119.t1 -1
jg3092.t1 0
jg17124.t1 -1
jg13179.t1 0
jg21340.t1 0
jg18953.t1 0
jg15516.t1 -1
jg5459.t1 -1
jg18452.t1 0
jg19851.t1 0
jg20577.t1 0
jg12583.t1 0
jg18617.t1 1
jg15483.t1 0
jg26093.t1 -1
jg13717.t1 1
jg5386.t1 0
jg2833.t1 0
jg26509.t1 0
jg16448.t1 0
jg20935.t1 0
jg6161.t1 0
jg13592.t1 1
jg14720.t1 0
jg25070.t1 1
jg26685.t1 0
jg7015.t1 1
jg17030.t1 0
jg18688.t1 1
jg10332.t1 0
jg17037.t1 0
jg7070.t1 0
jg13665.t1 1
jg27695.t1 1
jg26881.t1 0
jg22098.t1 0
jg6949.t1 0
jg4706.t1 1
jg16809.t1 0
jg4787.t1 -1
jg5072.t1 0
jg15342.t1 -1
jg23642.t1 0
jg2499.t1 1
jg9486.t1 1
jg7326.t1 -1
jg17511.t1 1
jg19748.t1 1
jg5214.t1 0
jg8377.t1 0
jg7392.t1 0
jg6010.t1 0
jg14232.t1 0
jg22440.t1 0
jg21499.t1 0
jg5774.t1 0
jg6462.t1 1
jg19339.t1 -1
jg14999.t1 0
jg19656.t1 1
jg13190.t1 0
jg17668.t1 0
jg18178.t1 -1
jg8893.t1 0
jg25493.t1 0
jg14628.t1 1
jg21863.t1 0
jg13621.t1 0
jg20430.t1 0
jg17075.t1 0
jg4561.t1 0
jg17416.t1 0
jg5892.t1 -1
jg12512.t1 1
jg6880.t1 0
jg1993.t1 1
jg8239.t1 0
jg22038.t1 0
jg19740.t1 0
jg14696.t1 -1
jg26816.t1 0
jg8724.t1 0
jg21190.t1 0
