jg107.t1	GO:0046855
jg10700.t1	
jg10707.t1	
jg10708.t1	
jg10710.t1	
jg10716.t1	
jg10718.t1	
jg10720.t1	GO:0005509
jg10722.t1	
jg10723.t1	GO:0006508
jg10723.t1	GO:0008234
jg10727.t1	
jg10728.t1	GO:0003676
jg10728.t1	GO:0005524
jg10733.t1	
jg10736.t1	
jg10737.t1	GO:0003723
jg10738.t1	
jg10738.t1	GO:0005525
jg10739.t1	
jg10739.t1	GO:0003735
jg10739.t1	GO:0006412
jg10739.t1	GO:0015934
jg10742.t1	GO:0016021
jg10742.t1	GO:0042765
jg10744.t1	
jg10748.t1	GO:0003700
jg10748.t1	GO:0006355
jg10750.t1	
jg10751.t1	GO:0005737
jg10751.t1	GO:0006511
jg10751.t1	GO:0007275
jg10752.t1	GO:0003676
jg10752.t1	GO:0004523
jg10765.t1	
jg10765.t1	GO:0003677
jg10766.t1	GO:0005525
jg10767.t1	
jg10770.t1	
jg10772.t1	
jg10772.t1	GO:0005509
jg10772.t1	GO:0005515
jg10773.t1	
jg10774.t1	
jg10777.t1	GO:0005509
jg10781.t1	
jg10781.t1	GO:0005509
jg10781.t1	GO:0016491
jg10781.t1	GO:0055114
jg10782.t1	
jg10783.t1	
jg10786.t1	
jg10791.t1	GO:0005787
jg10791.t1	GO:0006465
jg10791.t1	GO:0016021
jg10792.t1	
jg10793.t1	
jg10793.t2	
jg10795.t1	
jg10795.t1	GO:0007165
jg10796.t1	GO:0005515
jg10798.t1	GO:0005524
jg10798.t1	GO:0016021
jg10798.t1	GO:0042626
jg10798.t1	GO:0055085
jg10801.t1	
jg10802.t1	
jg10803.t1	
jg10804.t1	
jg10804.t1	GO:0005515
jg10804.t1	GO:0008237
jg10804.t1	GO:0070122
jg10805.t1	GO:0004930
jg10805.t1	GO:0007186
jg10805.t1	GO:0016021
jg10806.t1	GO:0004930
jg10806.t1	GO:0007186
jg10806.t1	GO:0016021
jg10808.t1	
jg10809.t1	
jg10810.t1	
jg10811.t1	
jg10811.t1	GO:0006511
jg10811.t1	GO:0031625
jg10812.t1	
jg10814.t1	
jg10815.t1	
jg10816.t1	GO:0003735
jg10816.t1	GO:0005840
jg10816.t1	GO:0006412
jg10817.t1	GO:0017176
jg10818.t1	
jg10819.t1	GO:0005634
jg10819.t1	GO:0042254
jg1082.t1	
jg10822.t1	
jg10824.t1	
jg10824.t1	GO:0005525
jg10825.t1	GO:0016021
jg10826.t1	
jg10827.t1	
jg10827.t1	GO:0046872
jg10829.t1	
jg10830.t1	
jg10830.t1	GO:0004383
jg10830.t1	GO:0004672
jg10830.t1	GO:0005524
jg10830.t1	GO:0006182
jg10830.t1	GO:0006468
jg10830.t1	GO:0009190
jg10830.t1	GO:0035556
jg10832.t1	
jg10837.t1	
jg10837.t1	GO:0005515
jg10837.t1	GO:0008270
jg10838.t1	GO:0005525
jg10839.t1	GO:0017176
jg10840.t1	
jg10842.t1	
jg10842.t1	GO:0005524
jg10842.t1	GO:0006298
jg10842.t1	GO:0030983
jg10847.t1	GO:0016192
jg10848.t1	GO:0003777
jg10848.t1	GO:0005524
jg10848.t1	GO:0007018
jg10848.t1	GO:0008017
jg10849.t1	GO:0006355
jg1085.t1	GO:0000145
jg1085.t1	GO:0006904
jg10858.t1	
jg10859.t1	GO:0004672
jg10859.t1	GO:0006468
jg1086.t1	
jg10860.t1	
jg10860.t1	GO:0004386
jg10860.t1	GO:0005515
jg10862.t1	GO:0004672
jg10862.t1	GO:0005524
jg10862.t1	GO:0006468
jg10863.t1	
jg10867.t1	GO:0046983
jg10868.t1	GO:0046983
jg10869.t1	
jg1087.t1	GO:0016020
jg10870.t1	
jg10871.t1	GO:0003777
jg10871.t1	GO:0005524
jg10871.t1	GO:0007018
jg10871.t1	GO:0008017
jg10873.t1	
jg10874.t1	
jg10876.t1	
jg10878.t1	GO:0016787
jg1088.t1	
jg10882.t1	
jg10883.t1	
jg10883.t1	GO:0008237
jg10883.t1	GO:0008270
jg10885.t1	GO:0003676
jg10886.t1	
jg10888.t1	
jg10889.t1	
jg1089.t1	
jg10890.t1	
jg10891.t1	
jg10891.t1	GO:0016491
jg10891.t1	GO:0055114
jg10892.t1	
jg10893.t1	GO:0003676
jg10894.t1	GO:0008137
jg10894.t1	GO:0009055
jg10894.t1	GO:0016020
jg10896.t1	GO:0046983
jg10897.t1	GO:0004672
jg10897.t1	GO:0005524
jg10897.t1	GO:0006468
jg10898.t1	
jg10901.t1	
jg10906.t1	
jg10908.t1	GO:0022857
jg10908.t1	GO:0055085
jg10914.t1	
jg10915.t1	GO:0005524
jg10915.t1	GO:0016020
jg10918.t1	
jg10919.t1	GO:0005525
jg10920.t1	GO:0003735
jg10920.t1	GO:0005840
jg10920.t1	GO:0006412
jg10921.t1	GO:0004930
jg10921.t1	GO:0007186
jg10921.t1	GO:0016021
jg10925.t1	GO:0004930
jg10925.t1	GO:0007186
jg10925.t1	GO:0016021
jg1093.t1	
jg10930.t1	
jg10933.t1	
jg10937.t1	
jg10938.t1	
jg10940.t1	GO:0046983
jg10941.t1	
jg10942.t1	
jg10944.t1	
jg10948.t1	GO:0004930
jg10948.t1	GO:0007186
jg10948.t1	GO:0016021
jg10949.t1	GO:0004930
jg10949.t1	GO:0007186
jg10949.t1	GO:0016021
jg10951.t1	
jg10953.t1	
jg10954.t1	GO:0005515
jg10960.t1	
jg10960.t1	GO:0004560
jg10960.t1	GO:0005975
jg10961.t1	
jg10961.t1	GO:0016787
jg10962.t1	
jg10962.t1	GO:0016787
jg10963.t1	
jg10963.t1	GO:0005524
jg10963.t1	GO:0016887
jg10964.t1	
jg10970.t1	
jg1098.t1	GO:0003677
jg1098.t1	GO:0046983
jg10983.t1	GO:0003924
jg10983.t1	GO:0005525
jg10984.t1	
jg10984.t1	GO:0005634
jg10986.t1	GO:0072546
jg10988.t1	GO:0004519
jg10988.t1	GO:0005634
jg10988.t1	GO:0006302
jg10988.t1	GO:0016787
jg10988.t1	GO:0030145
jg10989.t1	
jg10989.t1	GO:0003676
jg10989.t1	GO:0005634
jg1099.t1	
jg10990.t1	
jg10991.t1	
jg10992.t1	
jg10992.t2	
jg10994.t1	GO:0003677
jg10995.t1	
jg10997.t1	GO:0004386
jg10997.t1	GO:0005524
jg11.t1	GO:0006508
jg11.t1	GO:0008234
jg11000.t1	
jg11001.t1	GO:0004553
jg11001.t1	GO:0005975
jg11002.t1	
jg11002.t1	GO:0004553
jg11002.t1	GO:0005975
jg11003.t1	GO:0008483
jg11003.t1	GO:0030170
jg11004.t1	GO:0008483
jg11004.t1	GO:0030170
jg11005.t1	GO:0003677
jg11007.t1	
jg11010.t1	
jg11013.t1	GO:0005515
jg11015.t1	GO:0016020
jg11015.t1	GO:0016757
jg11016.t1	GO:0016020
jg11016.t1	GO:0016757
jg11018.t1	
jg11019.t1	
jg11020.t1	
jg11021.t1	
jg11023.t1	GO:0006486
jg11023.t1	GO:0016020
jg11024.t1	
jg11025.t1	
jg11027.t1	
jg11032.t1	
jg11033.t1	
jg11033.t1	GO:0004386
jg11034.t1	GO:0031966
jg11037.t1	
jg11037.t1	GO:0005515
jg11038.t1	
jg11039.t1	GO:0006357
jg11040.t1	GO:0016021
jg11041.t1	GO:0016491
jg11041.t1	GO:0055114
jg11042.t1	
jg11042.t1	GO:0003677
jg11042.t1	GO:0005524
jg11042.t1	GO:0032508
jg11043.t1	GO:2000640
jg11044.t1	GO:0004930
jg11044.t1	GO:0007186
jg11044.t1	GO:0016021
jg11049.t1	
jg11050.t1	
jg11052.t1	GO:0005515
jg11052.t1	GO:0008270
jg11053.t1	
jg11056.t1	
jg11063.t1	
jg11065.t1	
jg11066.t1	
jg11069.t1	GO:0046983
jg11070.t1	
jg11072.t1	
jg11078.t1	
jg11078.t1	GO:0008237
jg11078.t1	GO:0008270
jg11079.t1	
jg11079.t1	GO:0008237
jg11079.t1	GO:0008270
jg11080.t1	
jg11080.t1	GO:0008237
jg11080.t1	GO:0008270
jg11082.t1	
jg11082.t1	GO:0008237
jg11082.t1	GO:0008270
jg11083.t1	
jg11083.t1	GO:0008237
jg11083.t1	GO:0008270
jg11084.t1	
jg11084.t1	GO:0008237
jg11084.t1	GO:0008270
jg11085.t1	
jg11085.t1	GO:0008237
jg11085.t1	GO:0008270
jg11087.t1	GO:0006508
jg11087.t1	GO:0008234
jg11089.t1	
jg11089.t1	GO:0005515
jg11091.t1	
jg11092.t1	
jg11093.t1	
jg11094.t1	
jg11095.t1	
jg11098.t1	
jg11099.t1	
jg11102.t1	
jg11105.t1	GO:0005515
jg11107.t1	
jg11108.t1	GO:0016020
jg11108.t1	GO:0030001
jg11108.t1	GO:0046873
jg11108.t1	GO:0055085
jg11109.t1	GO:0006457
jg11109.t1	GO:0016272
jg11109.t1	GO:0051082
jg11110.t1	
jg11110.t1	GO:0003677
jg11110.t1	GO:0003918
jg11110.t1	GO:0005524
jg11110.t1	GO:0006265
jg11112.t1	
jg11112.t1	GO:0003677
jg11112.t1	GO:0003918
jg11112.t1	GO:0005524
jg11112.t1	GO:0006265
jg11119.t1	
jg11126.t1	
jg11127.t1	
jg11128.t1	
jg11129.t1	
jg11130.t1	
jg11131.t1	
jg11132.t1	
jg11132.t1	GO:0005515
jg11134.t1	GO:0006351
jg11135.t1	GO:0016787
jg11137.t1	
jg11137.t1	GO:0005524
jg11137.t1	GO:0016887
jg11137.t2	
jg11137.t2	GO:0005524
jg11137.t2	GO:0016887
jg11138.t1	GO:0003743
jg11138.t1	GO:0006413
jg11139.t1	GO:0005515
jg1114.t1	
jg11140.t1	
jg11140.t1	GO:0006886
jg11140.t1	GO:0006888
jg11140.t1	GO:0008270
jg11140.t1	GO:0030127
jg11141.t1	GO:0005509
jg11142.t1	GO:0005085
jg11142.t1	GO:0007264
jg11143.t1	GO:0005634
jg11143.t1	GO:0045892
jg11145.t1	GO:0006811
jg11145.t1	GO:0015075
jg11145.t1	GO:0016020
jg11145.t1	GO:0055085
jg11147.t1	GO:0005634
jg11147.t1	GO:0008270
jg11148.t1	
jg11149.t1	
jg11150.t1	
jg11151.t1	
jg11155.t1	GO:0003677
jg11158.t1	GO:0046983
jg1116.t1	
jg1116.t1	GO:0005515
jg11163.t1	
jg11164.t1	
jg11165.t1	
jg11166.t1	
jg11166.t1	GO:0005515
jg11166.t1	GO:0005524
jg11166.t1	GO:0005694
jg11166.t1	GO:0051276
jg1117.t1	GO:0003723
jg1117.t1	GO:0003735
jg1117.t1	GO:0005840
jg1117.t1	GO:0006412
jg11173.t1	
jg11174.t1	
jg11175.t1	
jg11178.t1	GO:0006629
jg11178.t1	GO:0016627
jg1118.t1	GO:0003968
jg1118.t1	GO:0004482
jg1118.t1	GO:0005524
jg1118.t1	GO:0006370
jg11181.t1	
jg11185.t1	GO:0046983
jg11186.t1	
jg1119.t1	
jg1119.t1	GO:0003968
jg1119.t1	GO:0004482
jg1119.t1	GO:0005524
jg1119.t1	GO:0006370
jg11199.t1	GO:0005515
jg11199.t1	GO:0006355
jg11201.t1	GO:0000775
jg11201.t1	GO:0005634
jg11201.t1	GO:0045132
jg11203.t1	
jg11205.t1	
jg11206.t1	
jg11208.t1	GO:0008528
jg1121.t1	
jg1121.t1	GO:0003676
jg1121.t1	GO:0008270
jg11210.t1	
jg11210.t1	GO:0003676
jg11210.t1	GO:0005524
jg11213.t1	
jg11214.t1	GO:0004806
jg11215.t1	
jg11216.t1	GO:0016740
jg11217.t1	GO:0000774
jg11217.t1	GO:0006457
jg11217.t1	GO:0042803
jg11217.t1	GO:0051087
jg11218.t1	
jg11218.t1	GO:0003677
jg11218.t1	GO:0006355
jg11218.t1	GO:0007165
jg11219.t1	
jg11221.t1	GO:0046983
jg11222.t1	
jg11223.t1	
jg11224.t1	
jg11225.t1	
jg11226.t1	GO:0016021
jg11226.t1	GO:0022857
jg11226.t1	GO:0055085
jg11227.t1	GO:0008430
jg11228.t1	
jg11228.t1	GO:0008270
jg11231.t1	GO:0004842
jg11232.t1	
jg11232.t1	GO:0005515
jg11233.t1	GO:0030431
jg11233.t1	GO:0032222
jg11233.t1	GO:1903818
jg11234.t1	
jg11235.t1	
jg11237.t1	
jg11238.t1	
jg11239.t1	
jg11239.t1	GO:0004842
jg11239.t1	GO:0005515
jg11240.t1	
jg11241.t1	GO:0005515
jg11241.t1	GO:0046872
jg11242.t1	GO:0016787
jg11243.t1	
jg11243.t1	GO:0003676
jg11243.t1	GO:0005524
jg11245.t1	GO:0000184
jg11246.t1	GO:0000184
jg11250.t1	
jg11250.t1	GO:0004748
jg11250.t1	GO:0005524
jg11250.t1	GO:0006260
jg11250.t1	GO:0055114
jg11251.t1	
jg11251.t1	GO:0004748
jg11251.t1	GO:0005524
jg11251.t1	GO:0006260
jg11251.t1	GO:0055114
jg11252.t1	
jg11252.t1	GO:0003824
jg11252.t1	GO:0055114
jg11258.t1	
jg11260.t1	GO:0004930
jg11260.t1	GO:0007186
jg11260.t1	GO:0016021
jg11261.t1	GO:0004930
jg11261.t1	GO:0007186
jg11261.t1	GO:0016021
jg11262.t1	
jg11263.t1	
jg11264.t1	
jg11264.t1	GO:0003676
jg11265.t1	GO:0005515
jg11267.t1	GO:0016021
jg11267.t1	GO:0016765
jg11268.t1	GO:0004672
jg11268.t1	GO:0004674
jg11268.t1	GO:0005524
jg11268.t1	GO:0006468
jg11269.t1	
jg11270.t1	GO:0005515
jg11271.t1	
jg11274.t1	GO:0005524
jg11274.t1	GO:0016021
jg11274.t1	GO:0042626
jg11274.t1	GO:0055085
jg11275.t1	
jg11276.t1	
jg11276.t1	GO:0005525
jg11277.t1	
jg11278.t1	GO:0006508
jg11278.t1	GO:0008236
jg11279.t1	GO:0016791
jg11280.t1	GO:0003677
jg11280.t1	GO:0006355
jg11280.t1	GO:0046983
jg11285.t1	
jg11286.t1	
jg11287.t1	
jg11288.t1	
jg11288.t1	GO:0016020
jg11288.t1	GO:0022857
jg11288.t1	GO:0055085
jg11289.t1	GO:0016020
jg11289.t1	GO:0022857
jg11289.t1	GO:0055085
jg11290.t1	
jg11290.t1	GO:0016020
jg11290.t1	GO:0022857
jg11290.t1	GO:0055085
jg11291.t1	
jg11291.t1	GO:0016020
jg11291.t1	GO:0022857
jg11291.t1	GO:0055085
jg11292.t1	
jg11292.t1	GO:0016020
jg11292.t1	GO:0022857
jg11292.t1	GO:0055085
jg11294.t1	GO:0016020
jg11294.t1	GO:0022857
jg11294.t1	GO:0055085
jg11295.t1	GO:0016020
jg11295.t1	GO:0022857
jg11295.t1	GO:0055085
jg11296.t1	
jg11304.t1	
jg11304.t1	GO:0005524
jg11306.t1	
jg11308.t1	
jg11310.t1	
jg11310.t1	GO:0005319
jg11310.t1	GO:0006869
jg11312.t1	GO:0006891
jg11312.t1	GO:0017119
jg11313.t1	GO:0004672
jg11313.t1	GO:0005524
jg11313.t1	GO:0006468
jg11314.t1	GO:0051260
jg11317.t1	
jg11318.t1	
jg11327.t1	
jg11328.t1	GO:0003723
jg11329.t1	
jg11329.t1	GO:0005515
jg11332.t1	
jg11332.t1	GO:0005524
jg11332.t1	GO:0007018
jg11332.t1	GO:0008569
jg11332.t1	GO:0030286
jg11333.t1	
jg11335.t1	
jg11338.t1	
jg11338.t1	GO:0055114
jg11339.t1	
jg11342.t1	
jg11342.t1	GO:0046983
jg11343.t1	
jg11344.t1	GO:0007064
jg11344.t1	GO:0031390
jg11345.t1	GO:0005515
jg11353.t1	
jg11354.t1	
jg11355.t1	
jg11355.t1	GO:0005515
jg11356.t1	GO:0044237
jg11357.t1	GO:0003735
jg11358.t1	GO:0005515
jg11359.t1	GO:0004252
jg11359.t1	GO:0006508
jg11362.t1	
jg11363.t1	GO:0005509
jg11363.t1	GO:0005783
jg11363.t1	GO:0006457
jg11363.t1	GO:0051082
jg11364.t1	GO:0003676
jg11365.t1	GO:0003899
jg11365.t1	GO:0006351
jg11365.t1	GO:0046983
jg11366.t1	
jg11366.t1	GO:0006886
jg11366.t1	GO:0016192
jg11366.t1	GO:0030117
jg11367.t1	GO:0005515
jg11367.t1	GO:0005634
jg11367.t1	GO:0005694
jg11367.t1	GO:0006355
jg11367.t1	GO:0018024
jg11367.t1	GO:0034968
jg11368.t1	
jg11369.t1	GO:0046983
jg1137.t1	
jg11374.t1	
jg11375.t1	
jg1138.t1	GO:0003676
jg1138.t1	GO:0008270
jg11380.t1	
jg11384.t1	GO:0004803
jg11384.t1	GO:0006313
jg11386.t1	
jg11389.t1	
jg1139.t1	
jg11390.t1	
jg11391.t1	
jg11391.t1	GO:0015074
jg11393.t1	
jg11400.t1	
jg11401.t1	GO:0005515
jg11403.t1	
jg11403.t1	GO:0004672
jg11403.t1	GO:0006468
jg11404.t1	
jg11406.t1	
jg11411.t1	GO:0006508
jg11411.t1	GO:0070573
jg11412.t1	GO:0046983
jg11413.t1	
jg11419.t1	GO:0005092
jg11419.t1	GO:0007264
jg1142.t1	
jg11420.t1	
jg11420.t1	GO:0008180
jg11420.t1	GO:0010387
jg11421.t1	GO:0016021
jg11422.t1	
jg11424.t1	GO:0022857
jg11424.t1	GO:0055085
jg11425.t1	
jg11425.t1	GO:0046872
jg11427.t1	GO:0006508
jg11427.t1	GO:0008236
jg11430.t1	GO:0005515
jg11431.t1	
jg11432.t1	
jg11432.t1	GO:0008168
jg11433.t1	
jg11435.t1	GO:0016021
jg11435.t1	GO:0022857
jg11435.t1	GO:0055085
jg11439.t1	
jg1144.t1	GO:0006508
jg1144.t1	GO:0008234
jg11443.t1	
jg11447.t1	GO:0004930
jg11447.t1	GO:0007186
jg11447.t1	GO:0016021
jg11448.t1	GO:0004930
jg11448.t1	GO:0007186
jg11448.t1	GO:0016021
jg1145.t1	
jg1145.t1	GO:0015074
jg11451.t1	
jg11451.t1	GO:0005515
jg11452.t1	GO:0015078
jg11452.t1	GO:0033179
jg11452.t1	GO:1902600
jg11454.t1	
jg11454.t1	GO:0005506
jg11454.t1	GO:0008610
jg11454.t1	GO:0016491
jg11454.t1	GO:0055114
jg11456.t1	GO:0016021
jg11457.t1	
jg11459.t1	
jg11459.t1	GO:0004518
jg1146.t1	
jg11466.t1	GO:0005524
jg11468.t1	GO:0004129
jg11469.t1	
jg1147.t1	
jg11471.t1	GO:0008270
jg11472.t1	GO:0005515
jg11473.t1	GO:0003677
jg11473.t1	GO:0005634
jg11473.t1	GO:0006260
jg11474.t1	
jg11474.t1	GO:0003676
jg11474.t1	GO:0003677
jg11474.t1	GO:0005634
jg11474.t1	GO:0006260
jg11475.t1	GO:0005509
jg11476.t1	GO:0004672
jg11476.t1	GO:0005524
jg11476.t1	GO:0006468
jg11476.t1	GO:0035091
jg11477.t1	GO:0005525
jg11479.t1	GO:0003723
jg11479.t1	GO:0003735
jg11479.t1	GO:0005840
jg11479.t1	GO:0006412
jg11480.t1	
jg11481.t1	
jg11482.t1	
jg11483.t1	GO:0008289
jg11484.t1	
jg11484.t1	GO:0005515
jg11487.t1	GO:0003755
jg11488.t1	
jg11489.t1	
jg11490.t1	
jg11493.t1	
jg11494.t1	GO:0005549
jg11498.t1	GO:0003924
jg11498.t1	GO:0005525
jg1150.t1	
jg11507.t1	GO:0006508
jg11507.t1	GO:0008236
jg1151.t1	
jg11514.t1	
jg11517.t1	
jg1152.t1	GO:0046983
jg11521.t1	
jg11522.t1	GO:0005737
jg11523.t1	GO:0046872
jg11524.t1	
jg1153.t1	GO:0006508
jg1153.t1	GO:0008234
jg11546.t1	GO:0046983
jg11548.t1	GO:0003676
jg11554.t1	GO:0004725
jg11554.t1	GO:0006470
jg11555.t1	
jg11555.t1	GO:0004252
jg11555.t1	GO:0006508
jg11557.t1	
jg11560.t1	
jg11561.t1	GO:0003723
jg11561.t1	GO:0004809
jg11561.t1	GO:0008033
jg11562.t1	
jg11565.t1	GO:0016021
jg11565.t1	GO:0022857
jg11565.t1	GO:0055085
jg11567.t1	
jg11567.t1	GO:0003676
jg11568.t1	
jg11570.t1	
jg11571.t1	
jg11574.t1	GO:0022857
jg11574.t1	GO:0055085
jg11577.t1	
jg11581.t1	
jg11581.t1	GO:0005515
jg11582.t1	
jg11583.t1	
jg11584.t1	
jg11585.t1	GO:0031083
jg11586.t1	GO:0003779
jg11589.t1	
jg11589.t1	GO:0004672
jg11589.t1	GO:0006468
jg1159.t1	
jg11590.t1	GO:0005515
jg11591.t1	
jg11593.t1	
jg11595.t1	GO:0009166
jg11595.t1	GO:0016787
jg11596.t1	
jg11597.t1	
jg11598.t1	
jg11599.t1	
jg11600.t1	GO:0016021
jg11601.t1	
jg11602.t1	GO:0001510
jg11602.t1	GO:0008168
jg11602.t1	GO:0009452
jg11603.t1	GO:0001919
jg11603.t1	GO:0007040
jg11603.t1	GO:0016197
jg11603.t1	GO:0031902
jg11603.t1	GO:0032008
jg11603.t1	GO:0042632
jg11603.t1	GO:0043410
jg11603.t1	GO:0045121
jg11603.t1	GO:0071230
jg11603.t1	GO:0071986
jg11604.t1	GO:0016020
jg11605.t1	
jg11605.t1	GO:0005515
jg11605.t1	GO:0007165
jg11606.t1	
jg11607.t1	GO:0016791
jg11608.t1	GO:0003676
jg11608.t1	GO:0003677
jg11608.t1	GO:0003678
jg11608.t1	GO:0004386
jg11608.t1	GO:0005524
jg11608.t1	GO:0006139
jg11608.t1	GO:0016818
jg11610.t1	GO:0016491
jg11610.t1	GO:0055114
jg11611.t1	
jg11614.t1	
jg11614.t1	GO:0005515
