jg10948.t1	GO:0004930
jg10948.t1	GO:0007186
jg10948.t1	GO:0016021
jg10949.t1	GO:0004930
jg10949.t1	GO:0007186
jg10949.t1	GO:0016021
jg10954.t1	GO:0005515
jg10960.t1	GO:0004560
jg10960.t1	GO:0005975
jg10961.t1	GO:0016787
jg10962.t1	GO:0016787
jg10963.t1	GO:0005524
jg10963.t1	GO:0016887
jg1098.t1	GO:0003677
jg1098.t1	GO:0046983
jg10983.t1	GO:0003924
jg10983.t1	GO:0005525
jg10984.t1	GO:0005634
jg10986.t1	GO:0072546
jg10988.t1	GO:0004519
jg10988.t1	GO:0005634
jg10988.t1	GO:0006302
jg10988.t1	GO:0016787
jg10988.t1	GO:0030145
jg10989.t1	GO:0003676
jg10989.t1	GO:0005634
jg10994.t1	GO:0003677
jg10997.t1	GO:0004386
jg10997.t1	GO:0005524
jg11.t1	GO:0006508
jg11.t1	GO:0008234
jg11001.t1	GO:0004553
jg11001.t1	GO:0005975
jg11002.t1	GO:0004553
jg11002.t1	GO:0005975
jg11003.t1	GO:0008483
jg11003.t1	GO:0030170
jg11004.t1	GO:0008483
jg11004.t1	GO:0030170
jg11005.t1	GO:0003677
jg11013.t1	GO:0005515
jg11015.t1	GO:0016020
jg11015.t1	GO:0016757
jg11016.t1	GO:0016020
jg11016.t1	GO:0016757
jg11023.t1	GO:0006486
jg11023.t1	GO:0016020
jg11033.t1	GO:0004386
jg11034.t1	GO:0031966
jg11037.t1	GO:0005515
jg11039.t1	GO:0006357
jg11040.t1	GO:0016021
jg11041.t1	GO:0016491
jg11041.t1	GO:0055114
jg11042.t1	GO:0003677
jg11042.t1	GO:0005524
jg11042.t1	GO:0032508
jg11043.t1	GO:2000640
jg11044.t1	GO:0004930
jg11044.t1	GO:0007186
jg11044.t1	GO:0016021
jg11052.t1	GO:0005515
jg11052.t1	GO:0008270
jg11069.t1	GO:0046983
jg11078.t1	GO:0008237
jg11078.t1	GO:0008270
jg11079.t1	GO:0008237
jg11079.t1	GO:0008270
jg11080.t1	GO:0008237
jg11080.t1	GO:0008270
jg11082.t1	GO:0008237
jg11082.t1	GO:0008270
jg11083.t1	GO:0008237
jg11083.t1	GO:0008270
jg11084.t1	GO:0008237
jg11084.t1	GO:0008270
jg11085.t1	GO:0008237
jg11085.t1	GO:0008270
jg11087.t1	GO:0006508
jg11087.t1	GO:0008234
jg11089.t1	GO:0005515
jg11105.t1	GO:0005515
jg11108.t1	GO:0016020
jg11108.t1	GO:0030001
jg11108.t1	GO:0046873
jg11108.t1	GO:0055085
jg11109.t1	GO:0006457
jg11109.t1	GO:0016272
jg11109.t1	GO:0051082
jg11110.t1	GO:0003677
jg11110.t1	GO:0003918
jg11110.t1	GO:0005524
jg11110.t1	GO:0006265
jg11112.t1	GO:0003677
jg11112.t1	GO:0003918
jg11112.t1	GO:0005524
jg11112.t1	GO:0006265
jg11132.t1	GO:0005515
jg11134.t1	GO:0006351
jg11135.t1	GO:0016787
jg11137.t1	GO:0005524
jg11137.t1	GO:0016887
jg11137.t2	GO:0005524
jg11137.t2	GO:0016887
jg11138.t1	GO:0003743
jg11138.t1	GO:0006413
jg11139.t1	GO:0005515
jg11140.t1	GO:0006886
jg11140.t1	GO:0006888
jg11140.t1	GO:0008270
jg11140.t1	GO:0030127
jg11141.t1	GO:0005509
jg11142.t1	GO:0005085
jg11142.t1	GO:0007264
jg11143.t1	GO:0005634
jg11143.t1	GO:0045892
jg11145.t1	GO:0006811
jg11145.t1	GO:0015075
jg11145.t1	GO:0016020
jg11145.t1	GO:0055085
jg11147.t1	GO:0005634
jg11147.t1	GO:0008270
jg11155.t1	GO:0003677
jg11158.t1	GO:0046983
jg1116.t1	GO:0005515
jg11166.t1	GO:0005515
jg11166.t1	GO:0005524
jg11166.t1	GO:0005694
jg11166.t1	GO:0051276
jg1117.t1	GO:0003723
jg1117.t1	GO:0003735
jg1117.t1	GO:0005840
jg1117.t1	GO:0006412
jg11178.t1	GO:0006629
jg11178.t1	GO:0016627
jg1118.t1	GO:0003968
jg1118.t1	GO:0004482
jg1118.t1	GO:0005524
jg1118.t1	GO:0006370
jg11185.t1	GO:0046983
jg1119.t1	GO:0003968
jg1119.t1	GO:0004482
jg1119.t1	GO:0005524
jg1119.t1	GO:0006370
jg11199.t1	GO:0005515
jg11199.t1	GO:0006355
jg11201.t1	GO:0000775
jg11201.t1	GO:0005634
jg11201.t1	GO:0045132
jg11208.t1	GO:0008528
jg1121.t1	GO:0003676
jg1121.t1	GO:0008270
jg11210.t1	GO:0003676
jg11210.t1	GO:0005524
jg11214.t1	GO:0004806
jg11216.t1	GO:0016740
jg11217.t1	GO:0000774
jg11217.t1	GO:0006457
jg11217.t1	GO:0042803
jg11217.t1	GO:0051087
jg11218.t1	GO:0003677
jg11218.t1	GO:0006355
jg11218.t1	GO:0007165
jg11221.t1	GO:0046983
jg11226.t1	GO:0016021
jg11226.t1	GO:0022857
jg11226.t1	GO:0055085
jg11227.t1	GO:0008430
jg11228.t1	GO:0008270
jg11231.t1	GO:0004842
jg11232.t1	GO:0005515
jg11233.t1	GO:0030431
jg11233.t1	GO:0032222
jg11233.t1	GO:1903818
jg11239.t1	GO:0004842
jg11239.t1	GO:0005515
jg11241.t1	GO:0005515
jg11241.t1	GO:0046872
jg11242.t1	GO:0016787
jg11243.t1	GO:0003676
jg11243.t1	GO:0005524
jg11245.t1	GO:0000184
jg11246.t1	GO:0000184
jg11250.t1	GO:0004748
jg11250.t1	GO:0005524
jg11250.t1	GO:0006260
jg11250.t1	GO:0055114
jg11251.t1	GO:0004748
jg11251.t1	GO:0005524
jg11251.t1	GO:0006260
jg11251.t1	GO:0055114
jg11252.t1	GO:0003824
jg11252.t1	GO:0055114
jg11260.t1	GO:0004930
jg11260.t1	GO:0007186
jg11260.t1	GO:0016021
jg11261.t1	GO:0004930
jg11261.t1	GO:0007186
jg11261.t1	GO:0016021
jg11264.t1	GO:0003676
jg11265.t1	GO:0005515
jg11267.t1	GO:0016021
jg11267.t1	GO:0016765
jg11268.t1	GO:0004672
jg11268.t1	GO:0004674
jg11268.t1	GO:0005524
jg11268.t1	GO:0006468
jg11270.t1	GO:0005515
jg11274.t1	GO:0005524
jg11274.t1	GO:0016021
jg11274.t1	GO:0042626
jg11274.t1	GO:0055085
jg11276.t1	GO:0005525
jg11278.t1	GO:0006508
jg11278.t1	GO:0008236
jg11279.t1	GO:0016791
jg11280.t1	GO:0003677
jg11280.t1	GO:0006355
jg11280.t1	GO:0046983
jg11288.t1	GO:0016020
jg11288.t1	GO:0022857
jg11288.t1	GO:0055085
jg11289.t1	GO:0016020
jg11289.t1	GO:0022857
jg11289.t1	GO:0055085
jg11290.t1	GO:0016020
jg11290.t1	GO:0022857
jg11290.t1	GO:0055085
jg11291.t1	GO:0016020
jg11291.t1	GO:0022857
jg11291.t1	GO:0055085
jg11292.t1	GO:0016020
jg11292.t1	GO:0022857
jg11292.t1	GO:0055085
jg11294.t1	GO:0016020
jg11294.t1	GO:0022857
jg11294.t1	GO:0055085
jg11295.t1	GO:0016020
jg11295.t1	GO:0022857
jg11295.t1	GO:0055085
jg11304.t1	GO:0005524
jg11310.t1	GO:0005319
jg11310.t1	GO:0006869
jg11312.t1	GO:0006891
jg11312.t1	GO:0017119
jg11313.t1	GO:0004672
jg11313.t1	GO:0005524
jg11313.t1	GO:0006468
jg11314.t1	GO:0051260
jg11328.t1	GO:0003723
jg11329.t1	GO:0005515
jg11332.t1	GO:0005524
jg11332.t1	GO:0007018
jg11332.t1	GO:0008569
jg11332.t1	GO:0030286
jg11338.t1	GO:0055114
jg11342.t1	GO:0046983
jg11344.t1	GO:0007064
jg11344.t1	GO:0031390
jg11345.t1	GO:0005515
jg11355.t1	GO:0005515
jg11356.t1	GO:0044237
jg11357.t1	GO:0003735
jg11358.t1	GO:0005515
jg11359.t1	GO:0004252
jg11359.t1	GO:0006508
jg11363.t1	GO:0005509
jg11363.t1	GO:0005783
jg11363.t1	GO:0006457
jg11363.t1	GO:0051082
jg11364.t1	GO:0003676
jg11365.t1	GO:0003899
jg11365.t1	GO:0006351
jg11365.t1	GO:0046983
jg11366.t1	GO:0006886
jg11366.t1	GO:0016192
jg11366.t1	GO:0030117
jg11367.t1	GO:0005515
jg11367.t1	GO:0005634
jg11367.t1	GO:0005694
jg11367.t1	GO:0006355
jg11367.t1	GO:0018024
jg11367.t1	GO:0034968
jg11369.t1	GO:0046983
jg1138.t1	GO:0003676
jg1138.t1	GO:0008270
jg11384.t1	GO:0004803
jg11384.t1	GO:0006313
jg11391.t1	GO:0015074
jg11401.t1	GO:0005515
jg11403.t1	GO:0004672
jg11403.t1	GO:0006468
jg11411.t1	GO:0006508
jg11411.t1	GO:0070573
jg11412.t1	GO:0046983
jg11419.t1	GO:0005092
