jg18617.t1	GO:0005515
jg13717.t1	
jg13592.t1	GO:0005787
jg13592.t1	GO:0006465
jg13592.t1	GO:0016021
jg7015.t1	
jg18688.t1	
jg13665.t1	GO:0008080
jg9486.t1	
jg19748.t1	
jg14628.t1	
jg1993.t1	
jg8472.t1	
jg15522.t1	GO:0004222
jg15522.t1	GO:0006508
jg3206.t1	
jg14304.t1	
jg14304.t1	GO:0007186
jg3617.t1	
jg11471.t1	GO:0008270
jg21262.t1	
jg21262.t1	GO:0004222
jg21262.t1	GO:0006508
jg11986.t1	GO:0005515
jg27177.t1	GO:0016791
jg10791.t1	GO:0005787
jg10791.t1	GO:0006465
jg10791.t1	GO:0016021
jg15434.t1	GO:0005509
jg27154.t1	
jg5994.t1	
jg3825.t1	
jg3825.t1	GO:0003700
jg3825.t1	GO:0006355
jg3825.t1	GO:0008270
jg3825.t1	GO:0043565
jg3257.t1	
jg3257.t1	GO:0003777
jg3257.t1	GO:0005515
jg3257.t1	GO:0005524
jg3257.t1	GO:0007018
jg3257.t1	GO:0008017
jg27364.t1	
jg27364.t1	GO:0006812
jg27364.t1	GO:0015299
jg27364.t1	GO:0016021
jg27364.t1	GO:0055085
jg23861.t1	
jg8686.t1	
jg13714.t1	GO:0003676
jg10283.t1	
jg12024.t1	
jg7279.t1	
jg18087.t1	GO:0006508
jg18087.t1	GO:0008234
jg6449.t1	
jg27320.t1	
jg10148.t1	
jg17590.t1	
jg16188.t1	GO:0046983
jg14291.t1	GO:0004555
jg14291.t1	GO:0005991
jg7375.t1	
jg7238.t1	
jg7238.t1	GO:0015074
jg5102.t1	
jg1093.t1	
jg16118.t1	
jg20073.t1	GO:0005179
jg20073.t1	GO:0005576
jg3802.t1	
jg11784.t1	
jg24045.t1	GO:0022857
jg24045.t1	GO:0055085
jg18129.t1	GO:0005509
jg16656.t1	GO:0006811
jg16656.t1	GO:0016020
jg16656.t1	GO:0022857
jg16656.t1	GO:0055085
jg13666.t1	GO:0008080
jg8697.t1	
jg8697.t1	GO:0005515
jg8697.t1	GO:0035091
jg11750.t1	
jg24454.t1	
jg24454.t1	GO:0003676
jg16598.t1	
jg25682.t1	
jg16047.t1	GO:0003700
jg16047.t1	GO:0006355
jg16047.t1	GO:0043565
jg21801.t1	GO:0003676
jg15217.t1	GO:0006812
jg15217.t1	GO:0015299
jg15217.t1	GO:0016021
jg15217.t1	GO:0055085
jg6032.t1	
jg21000.t1	
jg21000.t1	GO:0016020
jg14834.t1	
jg4311.t1	
jg10653.t1	
jg13266.t1	
jg26038.t1	
jg13628.t1	
jg13628.t1	GO:0003676
jg13628.t1	GO:0004523
jg6928.t1	GO:0004930
jg6928.t1	GO:0007186
jg6928.t1	GO:0016021
jg18014.t1	GO:0003824
jg11554.t1	GO:0004725
jg11554.t1	GO:0006470
jg11291.t1	
jg11291.t1	GO:0016020
jg11291.t1	GO:0022857
jg11291.t1	GO:0055085
jg18569.t1	
jg26207.t1	GO:0004970
jg26207.t1	GO:0016020
jg21468.t1	
jg22308.t1	
jg2631.t1	GO:0004252
jg2631.t1	GO:0006508
jg24442.t1	GO:0004672
jg24442.t1	GO:0005524
jg24442.t1	GO:0006468
jg20272.t1	
jg20272.t1	GO:0015074
jg3858.t1	
jg6438.t1	
jg20600.t1	GO:0005272
jg20600.t1	GO:0006814
jg20600.t1	GO:0016020
jg16507.t1	
jg21940.t1	GO:0004806
jg23497.t1	
jg13998.t1	
jg5250.t1	
jg19352.t1	
jg19352.t1	GO:0005515
jg17422.t1	
jg10124.t1	
jg10124.t1	GO:0015074
jg7748.t1	
jg16098.t1	GO:0008146
jg16817.t1	
jg20910.t1	GO:0003700
jg20910.t1	GO:0006355
jg8169.t1	GO:0005272
jg8169.t1	GO:0006814
jg8169.t1	GO:0016020
jg19139.t1	GO:0003700
jg19139.t1	GO:0006355
jg19139.t1	GO:0043565
jg14929.t1	
jg6887.t1	GO:0004143
jg6887.t1	GO:0007165
jg6887.t1	GO:0007205
jg6887.t1	GO:0016301
jg6887.t1	GO:0035556
jg20302.t1	
jg13329.t1	
jg19916.t1	GO:0046983
jg5849.t1	
jg15459.t1	
jg19766.t1	GO:0004930
jg19766.t1	GO:0007186
jg19766.t1	GO:0016021
jg16496.t1	
